LIFE360 INC.,360,Software & Services
1414 DEGREES LIMITED,14D,Capital Goods
ADALTA LIMITED,1AD,Pharmaceuticals Biotechnology & Life Sciences
1ST GROUP LIMITED,1ST,Health Care Equipment & Services
TUBI LIMITED,2BE,Energy
AMAERO INTERNATIONAL LTD,3DA,Capital Goods
POINTERRA LIMITED,3DP,Software & Services
3P LEARNING LIMITED..,3PL,Consumer Services
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment
4DMEDICAL LIMITED,4DX,Health Care Equipment & Services
5G NETWORKS LIMITED,5GN,Telecommunication Services
88 ENERGY LIMITED,88E,Energy
8COMMON LIMITED,8CO,Software & Services
8I HOLDINGS LTD,8IH,Diversified Financials
8VI HOLDINGS LIMITED,8VI,Consumer Services
9 SPOKES INTERNATIONAL LIMITED,9SP,Software & Services
AFRICAN GOLD LTD.,A1G,Materials
AIC MINES LIMITED,A1M,Materials
A2B AUSTRALIA LIMITED,A2B,Transportation
THE A2 MILK COMPANY LIMITED,A2M,Food Beverage & Tobacco
AURORA LABS LIMITED,A3D,Capital Goods
ALPHA HPA LIMITED,A4N,Materials
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC,Food Beverage & Tobacco
ARUMA RESOURCES LIMITED,AAJ,Materials
ANGLO AUSTRALIAN RESOURCES NL,AAR,Materials
AUSWIDE BANK LTD,ABA,Banks
AUSSIE BROADBAND LIMITED,ABB,Class Pend
ADBRI LIMITED,ABC,Materials
ABACUS PROPERTY GROUP,ABP,Real Estate
AMERICAN PACIFIC BORATES LIMITED,ABR,Materials
ADORE BEAUTY GROUP LIMITED,ABY,Class Pend
AUSCANN GROUP HOLDINGS LTD,AC8,Pharmaceuticals Biotechnology & Life Sciences
ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,ACF,Capital Goods
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic
ACRUX LIMITED,ACR,Pharmaceuticals Biotechnology & Life Sciences
ACUMENTIS GROUP LIMITED,ACU,Real Estate
ACTINOGEN MEDICAL LIMITED,ACW,Pharmaceuticals Biotechnology & Life Sciences
AD1 HOLDINGS LIMITED,AD1,Media & Entertainment
AUDINATE GROUP LIMITED,AD8,Technology Hardware & Equipment
ADACEL TECHNOLOGIES LIMITED,ADA,Software & Services
ADAVALE RESOURCES LIMITED,ADD,Energy
ADAIRS LIMITED,ADH,Retailing
APN INDUSTRIA REIT,ADI,Real Estate
ANDROMEDA METALS LIMITED,ADN,Materials
ANTEOTECH LTD,ADO,Pharmaceuticals Biotechnology & Life Sciences
ADHERIUM LIMITED,ADR,Health Care Equipment & Services
ADRIATIC METALS PLC,ADT,Materials
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF,Diversified Financials
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG,Not Applic
AERIS ENVIRONMENTAL LTD,AEI,Commercial & Professional Services
AEERIS LTD,AER,Media & Entertainment
AUSTRALIAN FINANCE GROUP LTD,AFG,Banks
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI,Not Applic
AF LEGAL GROUP LTD,AFL,Commercial & Professional Services
AFT PHARMACEUTICALS LIMITED,AFP,Pharmaceuticals Biotechnology & Life Sciences
AFRICAN ENERGY RESOURCES LIMITED,AFR,Energy
ANGLOGOLD ASHANTI LIMITED,AGG,Materials
ALTHEA GROUP HOLDINGS LIMITED,AGH,Pharmaceuticals Biotechnology & Life Sciences
AINSWORTH GAME TECHNOLOGY LIMITED,AGI,Consumer Services
AGL ENERGY LIMITED.,AGL,Utilities
AGUIA RESOURCES LIMITED,AGR,Materials
ARGOSY MINERALS LIMITED,AGY,Materials
AUSTRALIAN DAIRY NUTRITIONALS GROUP,AHF,Food Beverage & Tobacco
AHALIFE HOLDINGS LIMITED,AHL,Retailing
ALLEGIANCE COAL LIMITED,AHQ,Materials
ASALEO CARE LIMITED,AHY,Household & Personal Products
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA,Transportation
ACCESS INNOVATION HOLDINGS LIMITED,AIM,Commercial & Professional Services
AERIS RESOURCES LIMITED,AIS,Materials
AIR NEW ZEALAND LIMITED,AIZ,Transportation
AJ LUCAS GROUP LIMITED,AJL,Capital Goods
ARMOUR ENERGY LIMITED,AJQ,Energy
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials
ASPIRE MINING LIMITED,AKM,Materials
AUDIO PIXELS HOLDINGS LIMITED,AKP,Consumer Durables & Apparel
AML3D LIMITED,AL3,Capital Goods
ALDERAN RESOURCES LIMITED,AL8,Materials
ALCIDION GROUP LIMITED,ALC,Health Care Equipment & Services
AMPOL LIMITED,ALD,Energy
AUSTRALIAN LEADERS FUND LIMITED,ALF,Not Applic
ARDENT LEISURE GROUP LIMITED,ALG,Consumer Services
ALKANE RESOURCES LIMITED,ALK,Materials
ARISTOCRAT LEISURE LIMITED,ALL,Consumer Services
ALS LIMITED,ALQ,Commercial & Professional Services
ALTIUM LIMITED,ALU,Software & Services
ATLAS ARTERIA,ALX,Transportation
ALCHEMY RESOURCES LIMITED,ALY,Materials
AMCOR PLC,AMC,Materials
ARROW MINERALS LTD,AMD,Materials
ALTO METALS LIMITED,AME,Materials
AUSMEX MINING GROUP LIMITED,AMG,Materials
AMCIL LIMITED,AMH,Not Applic
AURELIA METALS LIMITED,AMI,Materials
AEON METALS LIMITED.,AML,Materials
AGRIMIN LIMITED,AMN,Materials
AMBERTECH LIMITED,AMO,Technology Hardware & Equipment
AMP LIMITED,AMP,Diversified Financials
ATOMOS LIMITED,AMS,Consumer Durables & Apparel
AEROMETREX LIMITED,AMX,Commercial & Professional Services
ANSELL LIMITED,ANN,Health Care Equipment & Services
ADVANCE NANOTEK LIMITED,ANO,Materials
ANTISENSE THERAPEUTICS LIMITED,ANP,Pharmaceuticals Biotechnology & Life Sciences
ANATARA LIFESCIENCES LTD,ANR,Pharmaceuticals Biotechnology & Life Sciences
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ,Banks
AUSTRALIAN UNITY OFFICE FUND,AOF,Real Estate
APOLLO MINERALS LIMITED,AON,Materials
APOLLO CONSOLIDATED LIMITED,AOP,Materials
APA GROUP,APA,Utilities
APN PROPERTY GROUP,APD,Real Estate
EAGERS AUTOMOTIVE LIMITED,APE,Retailing
AUSTRALIAN PRIMARY HEMP LIMITED,APH,Food Beverage & Tobacco
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API,Health Care Equipment & Services
ANTIPODES GLOBAL INVESTMENT COMPANY LTD,APL,Not Applic
AFTERPAY LIMITED,APT,Software & Services
APPSVILLAGE AUSTRALIA LIMITED,APV,Software & Services
APPEN LIMITED,APX,Software & Services
ASPEN GROUP,APZ,Real Estate
AUSTRALIAN PACIFIC COAL LIMITED,AQC,Materials
AUSQUEST LIMITED,AQD,Materials
ALICANTO MINERALS LIMITED,AQI,Materials
APN CONVENIENCE RETAIL REIT,AQR,Real Estate
AQUIS ENTERTAINMENT LIMITED,AQS,Consumer Services
ALICE QUEEN LIMITED,AQX,Materials
ALLIANCE AVIATION SERVICES LIMITED,AQZ,Transportation
ARCHTIS LIMITED,AR9,Software & Services
ARB CORPORATION LIMITED.,ARB,Automobiles & Components
ARGENT MINERALS LIMITED,ARD,Materials
ARGONAUT RESOURCES NL,ARE,Materials
ARENA REIT.,ARF,Real Estate
ARGO INVESTMENTS LIMITED,ARG,Not Applic
ARDEA RESOURCES LIMITED,ARL,Materials
ARAFURA RESOURCES LIMITED,ARU,Materials
AROA BIOSURGERY LIMITED,ARX,Pharmaceuticals Biotechnology & Life Sciences
ANGEL SEAFOOD HOLDINGS LTD,AS1,Food Beverage & Tobacco
AUSTAL LIMITED,ASB,Capital Goods
AUTOSPORTS GROUP LIMITED.,ASG,Retailing
ASHLEY SERVICES GROUP LIMITED,ASH,Commercial & Professional Services
AUSTRALIAN STRATEGIC MATERIALS LIMITED,ASM,Materials
ANSON RESOURCES LIMITED,ASN,Materials
AUSTRALIAN SILICA QUARTZ GROUP LTD,ASQ,Materials
AUSNET SERVICES LIMITED,AST,Utilities
ASX LIMITED,ASX,Diversified Financials
ATOMO DIAGNOSTICS LIMITED,AT1,Health Care Equipment & Services
ALTECH CHEMICALS LTD,ATC,Materials
ALTERITY THERAPEUTICS LIMITED,ATH,Pharmaceuticals Biotechnology & Life Sciences
APOLLO TOURISM & LEISURE LTD,ATL,Automobiles & Components
AUSTRALIS OIL & GAS LIMITED,ATS,Energy
ATRUM COAL LIMITED,ATU,Materials
AMPLIA THERAPEUTICS LIMITED,ATX,Pharmaceuticals Biotechnology & Life Sciences
AUMAKE INTERNATIONAL LIMITED,AU8,Retailing
AUB GROUP LIMITED,AUB,Insurance
AUSGOLD LIMITED,AUC,Materials
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI,Not Applic
AURIS MINERALS LIMITED,AUR,Materials
AUTECO MINERALS LTD,AUT,Materials
AUSTRALIAN MINES LIMITED,AUZ,Materials
AVA RISK GROUP LIMITED,AVA,Technology Hardware & Equipment
AUCTUS INVESTMENT GROUP LIMITED,AVC,Diversified Financials
AVECHO BIOTECHNOLOGY LIMITED,AVE,Pharmaceuticals Biotechnology & Life Sciences
AUSTRALIAN VINTAGE LTD,AVG,Food Beverage & Tobacco
AVITA THERAPEUTICS INC.,AVH,Pharmaceuticals Biotechnology & Life Sciences
AVJENNINGS LIMITED,AVJ,Real Estate
AUSTRALIAN VANADIUM LIMITED,AVL,Materials
AVENTUS GROUP,AVN,Real Estate
ANTERIS TECHNOLOGIES LTD,AVR,Health Care Equipment & Services
AVIRA RESOURCES LTD,AVW,Materials
AVZ MINERALS LIMITED,AVZ,Materials
ALUMINA LIMITED,AWC,Materials
AWN HOLDINGS LIMITED,AWN,Capital Goods
ANOVA METALS LIMITED,AWV,Materials
ACCENT GROUP LIMITED,AX1,Retailing
ACCELERATE RESOURCES LIMITED,AX8,Materials
ARCHER MATERIALS LIMITED,AXE,Materials
AMAYSIM AUSTRALIA LIMITED,AYS,Utilities
AURIZON HOLDINGS LIMITED,AZJ,Transportation
AZURE MINERALS LIMITED,AZS,Materials
ANTIPA MINERALS LIMITED,AZY,Materials
BAPCOR LIMITED,BAP,Retailing
BARRA RESOURCES LIMITED,BAR,Materials
BATTERY MINERALS LIMITED,BAT,Materials
BNK BANKING CORPORATION LIMITED,BBC,Banks
BABY BUNTING GROUP LIMITED,BBN,Retailing
BBX MINERALS LIMITED,BBX,Materials
BLACK CAT SYNDICATE LIMITED,BC8,Materials
BOWEN COKING COAL LIMITED,BCB,Materials
BEAM COMMUNICATIONS HOLDINGS LIMITED,BCC,Technology Hardware & Equipment
BCI MINERALS LIMITED,BCI,Materials
BROCKMAN MINING LIMITED,BCK,Materials
BEACON MINERALS LIMITED,BCN,Materials
BLUECHIIP LIMITED,BCT,Technology Hardware & Equipment
BARD1 LIFE SCIENCES LIMITED,BD1,Health Care Equipment & Services
BOD AUSTRALIA LIMITED,BDA,Retailing
BARDOC GOLD LIMITED,BDC,Materials
BENTLEY CAPITAL LIMITED,BEL,Not Applic
BLACKEARTH MINERALS NL,BEM,Materials
BENDIGO AND ADELAIDE BANK LIMITED,BEN,Banks
BETMAKERS TECHNOLOGY GROUP LTD,BET,Consumer Services
BESTON GLOBAL FOOD COMPANY LIMITED,BFC,Food Beverage & Tobacco
BELL FINANCIAL GROUP LIMITED,BFG,Diversified Financials
BEGA CHEESE LIMITED,BGA,Food Beverage & Tobacco
BELLEVUE GOLD LIMITED,BGL,Materials
BIO-GENE TECHNOLOGY LTD,BGT,Materials
BENJAMIN HORNIGOLD LIMITED,BHD,Not Applic
BHP GROUP LIMITED,BHP,Materials
BIDENERGY LIMITED,BID,Software & Services
BINGO INDUSTRIES LIMITED,BIN,Commercial & Professional Services
BISALLOY STEEL GROUP LIMITED,BIS,Materials
BKI INVESTMENT COMPANY LIMITED,BKI,Not Applic
BLACKMORES LIMITED,BKL,Household & Personal Products
BLACK ROCK MINING LIMITED,BKT,Materials
BRICKWORKS LIMITED,BKW,Materials
BERKELEY ENERGIA LIMITED,BKY,Energy
BORAL LIMITED.,BLD,Materials
BLUGLASS LIMITED,BLG,Semiconductors & Semiconductor Equipment
BLUE ENERGY LIMITED.,BLU,Energy
BOART LONGYEAR LIMITED,BLY,Materials
BLAZE INTERNATIONAL LIMITED,BLZ,Energy
BMG RESOURCES LIMITED,BMG,Materials
BLUE STAR HELIUM LIMITED,BNL,Energy
BIONOMICS LIMITED,BNO,Pharmaceuticals Biotechnology & Life Sciences
BULLETIN RESOURCES LIMITED,BNR,Materials
BOUGAINVILLE COPPER LIMITED,BOC,Materials
BOSS RESOURCES LIMITED,BOE,Materials
BOOM LOGISTICS LIMITED,BOL,Capital Goods
BANK OF QUEENSLAND LIMITED.,BOQ,Banks
BOTANIX PHARMACEUTICALS LTD,BOT,Pharmaceuticals Biotechnology & Life Sciences
BPH ENERGY LTD,BPH,Pharmaceuticals Biotechnology & Life Sciences
BABYLON PUMP & POWER LIMITED,BPP,Capital Goods
BEACH ENERGY LIMITED,BPT,Energy
BREAKER RESOURCES NL,BRB,Materials
BREVILLE GROUP LIMITED,BRG,Consumer Durables & Apparel
BATHURST RESOURCES LIMITED.,BRL,Materials
BRAINCHIP HOLDINGS LTD,BRN,Software & Services
BURU ENERGY LIMITED,BRU,Energy
BSA LIMITED,BSA,Commercial & Professional Services
BASE RESOURCES LIMITED,BSE,Materials
BLUESCOPE STEEL LIMITED,BSL,Materials
BLACKSTONE MINERALS LIMITED,BSX,Materials
BIGTINCAN HOLDINGS LIMITED,BTH,Software & Services
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI,Diversified Financials
BUBS AUSTRALIA LIMITED,BUB,Food Beverage & Tobacco
BUXTON RESOURCES LIMITED,BUX,Materials
BOUNTY OIL & GAS NL,BUY,Energy
BRAVURA SOLUTIONS LIMITED.,BVS,Software & Services
BLACKWALL LIMITED,BWF,Diversified Financials
BWP TRUST,BWP,Real Estate
BLACKWALL PROPERTY TRUST,BWR,Real Estate
BWX LIMITED,BWX,Household & Personal Products
BRAMBLES LIMITED,BXB,Commercial & Professional Services
BYRON ENERGY LIMITED,BYE,Energy
BRYAH RESOURCES LIMITED,BYH,Materials
COPPER MOUNTAIN MINING CORPORATION,C6C,Materials
CAPRAL LIMITED,CAA,Materials
CAENEUS MINERALS LTD,CAD,Materials
CANNINDAH RESOURCES LIMITED,CAE,Materials
CENTREPOINT ALLIANCE LIMITED,CAF,Diversified Financials
CALIDUS RESOURCES LIMITED,CAI,Materials
CLIME CAPITAL LIMITED,CAM,Not Applic
CANN GROUP LIMITED,CAN,Pharmaceuticals Biotechnology & Life Sciences
CARPENTARIA RESOURCES LTD,CAP,Materials
CARSALES.COM LIMITED.,CAR,Media & Entertainment
CATAPULT GROUP INTERNATIONAL LTD,CAT,Technology Hardware & Equipment
CRONOS AUSTRALIA LIMITED,CAU,Health Care Equipment & Services
CARNAVALE RESOURCES LIMITED,CAV,Materials
CANYON RESOURCES LIMITED,CAY,Materials
CAZALY RESOURCES LIMITED,CAZ,Materials
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks
COBRE LIMITED,CBE,Materials
CARBON REVOLUTION LIMITED,CBR,Automobiles & Components
CANTERBURY RESOURCES LIMITED,CBY,Materials
CHANGE FINANCIAL LIMITED,CCA,Software & Services
COMMSCHOICE GROUP LIMITED,CCG,Software & Services
COCA-COLA AMATIL LIMITED,CCL,Food Beverage & Tobacco
CREDIT CORP GROUP LIMITED,CCP,Diversified Financials
CASH CONVERTERS INTERNATIONAL,CCV,Diversified Financials
CITY CHIC COLLECTIVE LIMITED,CCX,Retailing
CASTILLO COPPER LIMITED,CCZ,Materials
CD PRIVATE EQUITY FUND II,CD2,Not Applic
CD PRIVATE EQUITY FUND III,CD3,Not Applic
CODAN LIMITED,CDA,Technology Hardware & Equipment
CARDNO LIMITED,CDD,Commercial & Professional Services
CARINDALE PROPERTY TRUST,CDP,Real Estate
CASTLE MINERALS LIMITED,CDT,Materials
CARDINAL RESOURCES LIMITED,CDV,Materials
CARDIEX LIMITED,CDX,Health Care Equipment & Services
CELLMID LIMITED,CDY,Pharmaceuticals Biotechnology & Life Sciences
CHALLENGER EXPLORATION LIMITED,CEL,Energy
CONTACT ENERGY LIMITED,CEN,Utilities
CFOAM LIMITED,CFO,Capital Goods
COSTA GROUP HOLDINGS LIMITED,CGC,Food Beverage & Tobacco
CHALLENGER LIMITED,CGF,Diversified Financials
CPT GLOBAL LIMITED,CGO,Software & Services
CML GROUP LIMITED,CGR,Diversified Financials
COGSTATE LTD,CGS,Health Care Equipment & Services
CHARTER HALL GROUP,CHC,Real Estate
COHIBA MINERALS LIMITED,CHK,Materials
CHALICE GOLD MINES LIMITED,CHN,Materials
CHESSER RESOURCES LIMITED,CHZ,Materials
CHAMPION IRON LIMITED,CIA,Materials
CONTANGO INCOME GENERATOR  LIMITED,CIE,Not Applic
CIMIC GROUP LIMITED,CIM,Capital Goods
CARLTON INVESTMENTS LIMITED,CIN,Not Applic
CONNECTED IO LIMITED,CIO,Technology Hardware & Equipment
CENTURIA INDUSTRIAL REIT,CIP,Real Estate
COKAL LIMITED,CKA,Materials
COLLINS FOODS LIMITED,CKF,Consumer Services
CLASS LIMITED,CL1,Software & Services
COLLABORATE CORPORATION LIMITED,CL8,Retailing
CELSIUS RESOURCES LIMITED.,CLA,Materials
CANDY CLUB HOLDINGS LIMITED,CLB,Food & Staples Retailing
CONCENTRATED LEADERS FUND LIMITED,CLF,Not Applic
CLEAN TEQ HOLDINGS LIMITED,CLQ,Commercial & Professional Services
CELLNET GROUP LIMITED,CLT,Technology Hardware & Equipment
CLOVER CORPORATION LIMITED,CLV,Materials
CHARTER HALL LONG WALE REIT,CLW,Real Estate
CROWD MEDIA HOLDINGS LIMITED,CM8,Media & Entertainment
CASSIUS MINING LIMITED,CMD,Materials
CAPRICORN METALS LTD,CMM,Materials
COMPUMEDICS LIMITED,CMP,Health Care Equipment & Services
CROMWELL PROPERTY GROUP,CMW,Real Estate
CARNABY RESOURCES LIMITED,CNB,Materials
CENTURIA CAPITAL GROUP,CNI,Real Estate
CONICO LTD,CNJ,Materials
CHORUS LIMITED,CNU,Telecommunication Services
CIRRUS NETWORKS HOLDINGS LIMITED,CNW,Software & Services
COBALT BLUE HOLDINGS LIMITED,COB,Materials
COOPER ENERGY LIMITED,COE,Energy
CENTURIA OFFICE REIT,COF,Real Estate
CONSOLIDATED OPERATIONS GROUP LIMITED,COG,Diversified Financials
COCHLEAR LIMITED,COH,Health Care Equipment & Services
COLES GROUP LIMITED.,COL,Food & Staples Retailing
CORUM GROUP LIMITED,COO,Software & Services
CANNPAL ANIMAL THERAPEUTICS LIMITED,CP1,Pharmaceuticals Biotechnology & Life Sciences
CRESO PHARMA LIMITED,CPH,Pharmaceuticals Biotechnology & Life Sciences
CIPHERPOINT LIMITED,CPT,Software & Services
COMPUTERSHARE LIMITED.,CPU,Software & Services
CLEARVUE TECHNOLOGIES LIMITED,CPV,Capital Goods
CHARTER HALL SOCIAL INFRASTRUCTURE REIT,CQE,Real Estate
CHARTER HALL RETAIL REIT,CQR,Real Estate
CONSTELLATION RESOURCES LIMITED,CR1,Materials
COMET RESOURCES LIMITED,CRL,Materials
CORONADO GLOBAL RESOURCES INC.,CRN,Materials
CIRRALTO LIMITED,CRO,Software & Services
CAPRICE RESOURCES LTD,CRS,Materials
COPPER STRIKE LIMITED,CSE,Materials
CSL LIMITED,CSL,Pharmaceuticals Biotechnology & Life Sciences
CSR LIMITED,CSR,Materials
CLEAN SEAS SEAFOOD LIMITED,CSS,Food Beverage & Tobacco
CASTILE RESOURCES LTD,CST,Materials
CLEANSPACE HOLDINGS LIMITED,CSX,Class Pend
CONSTELLATION TECHNOLOGIES LIMITED,CT1,Technology Hardware & Equipment
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD,Consumer Services
CRYOSITE LIMITED,CTE,Pharmaceuticals Biotechnology & Life Sciences
CENTAURUS METALS LIMITED,CTM,Materials
CITIGOLD CORPORATION LIMITED,CTO,Materials
CENTRAL PETROLEUM LIMITED,CTP,Energy
CUE ENERGY RESOURCES LIMITED,CUE,Energy
CULLEN RESOURCES LIMITED,CUL,Materials
COUNTPLUS LIMITED,CUP,Commercial & Professional Services
CLINUVEL PHARMACEUTICALS LIMITED,CUV,Pharmaceuticals Biotechnology & Life Sciences
CV CHECK LTD,CV1,Software & Services
CONTRARIAN VALUE FUND LIMITED,CVF,Not Applic
CARNARVON PETROLEUM LIMITED,CVN,Energy
CARAVEL MINERALS LIMITED,CVV,Materials
CROWN RESORTS LIMITED,CWN,Consumer Services
CEDAR WOODS PROPERTIES LIMITED,CWP,Real Estate
CARAWINE RESOURCES LIMITED,CWX,Materials
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY,Commercial & Professional Services
CASHWERKZ LIMITED,CWZ,Diversified Financials
CALIX LIMITED,CXL,Materials
CENTREX METALS LIMITED,CXM,Materials
CORE LITHIUM LTD,CXO,Materials
CAULDRON ENERGY LIMITED,CXU,Energy
CONNEXION TELEMATICS LTD,CXZ,Software & Services
CYCLOPHARM LIMITED,CYC,Health Care Equipment & Services
CATALYST METALS LIMITED,CYL,Materials
CYPRIUM METALS LIMITED,CYM,Materials
CYNATA THERAPEUTICS LIMITED,CYP,Pharmaceuticals Biotechnology & Life Sciences
CZR RESOURCES LTD,CZR,Materials
DUXTON WATER LIMITED,D2O,Utilities
DISCOVERY AFRICA LIMITED,DAF,Materials
DAMPIER GOLD LIMITED,DAU,Materials
DAVENPORT RESOURCES LIMITED,DAV,Materials
DUXTON BROADACRE FARMS LIMITED,DBF,Food Beverage & Tobacco
DIGITALX LIMITED,DCC,Software & Services
DECMIL GROUP LIMITED,DCG,Capital Goods
DACIAN GOLD LIMITED,DCN,Materials
DYNAMIC DRILL AND BLAST HOLDINGS LIMITED,DDB,Capital Goods
3D RESOURCES LIMITED,DDD,Materials
DICKER DATA LIMITED,DDR,Technology Hardware & Equipment
DATADOT TECHNOLOGY LIMITED,DDT,Automobiles & Components
DE GREY MINING LIMITED,DEG,Materials
DE.MEM LIMITED,DEM,Utilities
DEVEX RESOURCES LIMITED,DEV,Energy
DGO GOLD LIMITED,DGO,Materials
DGR GLOBAL LIMITED,DGR,Materials
DOMAIN HOLDINGS AUSTRALIA LIMITED.,DHG,Media & Entertainment
DJERRIWARRH INVESTMENTS LIMITED,DJW,Not Applic
DUKETON MINING LIMITED,DKM,Materials
DOMINO'S PIZZA ENTERPRISES LIMITED,DMP,Consumer Services
DONACO INTERNATIONAL LIMITED,DNA,Consumer Services
DANAKALI LIMITED,DNK,Materials
DORIEMUS PLC,DOR,Energy
DOUUGH LIMITED,DOU,Telecommunication Services
DOWNER EDI LIMITED,DOW,Commercial & Professional Services
DREADNOUGHT RESOURCES LTD,DRE,Materials
DRONESHIELD LIMITED,DRO,Capital Goods
DETERRA ROYALTIES LIMITED,DRR,Class Pend
DROPSUITE LIMITED,DSE,Software & Services
DAMSTRA HOLDINGS LIMITED,DTC,Software & Services
DATA#3 LIMITED,DTL,Software & Services
DART MINING NL,DTM,Materials
DRAGONTAIL SYSTEMS LIMITED,DTS,Software & Services
DOTZ NANO LIMITED,DTZ,Semiconductors & Semiconductor Equipment
DUBBER CORPORATION LIMITED,DUB,Software & Services
DUG TECHNOLOGY LTD,DUG,Software & Services
DIVERSIFIED UNITED INVESTMENT LIMITED,DUI,Not Applic
DIGITAL WINE VENTURES LIMITED,DW8,Retailing
DWS LIMITED,DWS,Software & Services
DXN LIMITED,DXN,Software & Services
DEXUS,DXS,Real Estate
DEEP YELLOW LIMITED,DYL,Energy
ELEMENT 25 LIMITED,E25,Materials
EVANS & PARTNERS ASIA FUND,EAF,Not Applic
ELLERSTON ASIAN INVESTMENTS LIMITED,EAI,Not Applic
EBOS GROUP LIMITED,EBO,Health Care Equipment & Services
ELANOR COMMERCIAL PROPERTY FUND,ECF,Real Estate
ECLIPX GROUP LIMITED,ECX,Diversified Financials
EVANS DIXON LIMITED,ED1,Diversified Financials
EDEN INNOVATIONS LTD,EDE,Energy
EMPIRE ENERGY GROUP LIMITED,EEG,Energy
EASTERN IRON LIMITED,EFE,Materials
EVANS & PARTNERS GLOBAL DISRUPTION FUND,EGD,Not Applic
EVANS & PARTNERS GLOBAL FLAGSHIP FUND,EGF,Not Applic
ENERO GROUP LIMITED,EGG,Media & Entertainment
EUREKA GROUP HOLDINGS LIMITED,EGH,Real Estate
ENVIRONMENTAL GROUP LIMITED (THE),EGL,Capital Goods
ECOGRAF LIMITED,EGR,Materials
ESTIA HEALTH LIMITED,EHE,Health Care Equipment & Services
EMECO HOLDINGS LIMITED,EHL,Capital Goods
EHR RESOURCES LIMITED,EHX,Materials
ELDERS LIMITED,ELD,Food Beverage & Tobacco
ELMO SOFTWARE LIMITED,ELO,Software & Services
ELSIGHT LIMITED,ELS,Technology Hardware & Equipment
EAGLE MOUNTAIN MINING LIMITED,EM2,Materials
EMYRIA LIMITED,EMD,Health Care Equipment & Services
EML PAYMENTS LIMITED,EML,Software & Services
EURO MANGANESE INC,EMN,Materials
EMPEROR ENERGY LIMITED,EMP,Energy
EMERALD RESOURCES NL,EMR,Materials
EMETALS LIMITED,EMT,Not Applic
EMU NL,EMU,Materials
EMVISION MEDICAL DEVICES LTD,EMV,Health Care Equipment & Services
ENEVIS LIMITED,ENE,Capital Goods
